idnumber,workexperience,age,nationality,gender,selfa_t0,selfb_t0,selfc_t0,selfd_t0,selfe_t0,selff_t0,selfg_t0,selfh_t0,selfi_t0,selfj_t0,nega_t0,negb_t0,negc_t0,negd_t0,nege_t0,negf_t0,negg_t0,negh_t0,negi_t0,negj_t0,posa_t0,posb_t0,posc_t0,posd_t0,pose_t0,posf_t0,posg_t0,posh_t0,posi_t0,posj_t0,perfa_t0,perfb_t0,perfc_t0,perfd_t0,ocba_t0,ocbb_t0,ocbc_t0,sila_t0,silb_t0,silc_t0,sild_t0,sile_t0,burna_t0,burnb_t0,burnc_t0,burnd_t0,burne_t0,burnf_t0,burng_t0,burnh_t0,burni_t0,selfa_t1,selfd_t1,selfe_t1,selff_t1,selfg_t1,selfj_t1,nega_t1,negb_t1,negc_t1,negd_t1,nege_t1,negf_t1,negg_t1,negh_t1,negi_t1,negj_t1,posa_t1,posb_t1,posc_t1,posd_t1,pose_t1,posf_t1,posg_t1,posh_t1,posi_t1,posj_t1,perfa_t1,perfb_t1,perfc_t1,perfd_t1,ocba_t1,ocbb_t1,ocbc_t1,sila_t1,silb_t1,silc_t1,sild_t1,sile_t1,macha,machb,machc,machdrecode,mache,burng_t1,burna_t1,burnh_t1,enga_t1,engb_t1,engc_t1,supporta_t1,supportb_t1,supportc_t1,supportd_t1,selfa_t2,selfd_t2,selfe_t2,selff_t2,selfg_t2,selfj_t2,nega_t2,negb_t2,negc_t2,negd_t2,nege_t2,negf_t2,negg_t2,negh_t2,negi_t2,negj_t2,posa_t2,posb_t2,posc_t2,posd_t2,pose_t2,posf_t2,posg_t2,posh_t2,posi_t2,posj_t2,ocba_t2,ocbb_t2,ocbc_t2,sila_t2,silb_t2,silc_t2,sild_t2,sile_t2,fora,forb,forc,ford,fore,perfa_t2,perfb_t2,perfc_t2,perfd_t2,burng_t2,burna_t2,burnh_t2,enga_t2,engb_t2,engc_t2,supporta_t2,supportb_t2,supportc_t2,supportd_t2,selfa_t3,selfd_t3,selfe_t3,selff_t3,selfg_t3,selfj_t3,nega_t3,negb_t3,negc_t3,negd_t3,nege_t3,negf_t3,negh_t3,negi_t3,negj_t3,negg_t3,posa_t3,posb_t3,posc_t3,posd_t3,pose_t3,posf_t3,posg_t3,posh_t3,posi_t3,posj_t3,ocba_t3,ocbb_t3,ocbc_t3,sila_t3,silb_t3,silc_t3,sild_t3,sile_t3,perfa_t3,perfb_t3,perfc_t3,perfd_t3,burng_t3,burna_t3,burnh_t3,enga_t3,engb_t3,engc_t3,supporta_t3,supportb_t3,supportc_t3,supportd_t3,selfa_t4,selfd_t4,selfe_t4,selff_t4,selfg_t4,selfj_t4,macha4,machb4,machc4,machd4,mache4,nega_t4,negb_t4,negc_t4,negd_t4,nege_t4,negf_t4,negg_t4,negh_t4,negi_t4,negj_t4,posa_t4,posb_t4,posc_t4,posd_t4,pose_t4,posf_t4,posg_t4,posh_t4,posi_t4,posj_t4,ocba_t4,ocbb_t4,ocbc_t4,sila_t4,silb_t4,silc_t4,sild_t4,sile_t4,perfa_t4,perfb_t4,perfc_t4,perfd_t4,burng_t4,burna_t4,burnh_t4,extraa,extrab,extrac,extrad,extrae,extraf,agreea,agreeb,agreec,agreed,agreee,agreef,enga_t4,engb_t4,engc_t4,consa,consb,consc,consd,conse,consf,neura,neurb,neurc,neurd,neure,neurf,supporta_t4,supportb_t4,supportc_t4,supportd_t4,opena,openb,openc,opend,opene,openf
556,1,22,1,1,3,3,3,3,3,4,3,3,3,3,1,2,2,2,2,3,1,3,2,1,4,4,4,4,3,2,4,5,3,4,5,4,4,4,3,3,3,1,1,1,2,1,3,3,1,2,1,2,1,1,1,2,2,2,4,3,3,3,2,2,3,1,1,2,4,2,3,4,2,2,3,4,2,3,4,4,4,4,4,3,5,4,4,4,2,1,2,2,3,1,3,3,2,1,4,4,2,3,3,4,4,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,4,2,2,2,2,3,5,2,3,1,1,4,5,2,1,4,3,4,3,5,3,5,5,3,2,5,3,5,4,4,2,2,1,1,1,2,5,5,5,5,1,1,1,4,4,3,2,5,4,2,2,3,4,4,5,5,5,3,3,4,1,4,1,3,3,1,1,2,2,2,4,4,3,4,5,5,3,4,3,3
557,1,22,2,1,4,3,4,4,4,4,4,3,4,3,4,2,1,1,3,2,1,4,2,2,4,3,3,4,4,5,4,5,5,5,5,5,5,5,4,4,4,1,2,1,1,1,3,4,2,5,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,4,4,2,1,1,1,1,1,1,1,1,2,4,3,5,3,2,5,3,5,5,5,4,5,5,1,1,1,1,1,4,3,4,2,4,5,5,5,5,3,3,1,3,3,4,5,5,5,5,2,3,3,3,4,4,2,1,1,1,1,1,2,1,2,1,2,4,5,4,2,5,4,5,5,5,5,5,5,1,1,1,1,1,5,5,3,5,1,1,1,4,3,3,5,5,5,4,2,4,3,3,4,4,4,3,2,3,1,3,2,1,1,2,1,1,3,1,1,1,2,3,3,1,5,3,3,5,5,5,5,5,1,1,1,1,1,5,5,5,5,2,2,1,3,3,4,4,4,2,4,2,4,2,5,5,3,3,3,5,5,5,5,5,5,3,3,1,4,1,4,5,5,5,5,5,5,2,5,5,3
558,2,22,8,1,4,4,4,3,3,4,4,3,3,3,1,1,1,1,2,3,1,4,3,1,5,3,5,3,3,4,5,5,5,4,5,5,5,5,3,4,5,2,2,2,2,2,3,4,2,2,2,3,2,3,4,3,3,3,4,3,3,2,2,1,1,1,2,1,4,4,1,3,3,3,3,3,1,1,4,4,5,5,5,4,5,4,4,4,1,1,1,1,1,1,1,1,2,1,3,3,5,3,3,3,5,5,5,5,3,3,3,3,3,4,3,1,1,1,1,1,1,1,3,1,2,2,1,2,1,1,1,2,3,4,4,4,4,1,1,1,1,1,4,3,4,3,4,4,4,4,4,2,3,4,2,2,3,5,5,5,5,3,3,3,3,4,3,3,1,1,1,1,2,1,1,1,1,2,3,3,2,1,1,1,3,4,3,3,5,5,1,1,1,1,1,5,5,5,5,2,3,3,2,3,2,5,5,5,5,3,3,3,3,3,3,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,5,4,4,4,1,1,1,1,1,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,2,4,4,1,3,3,4,4,4,4,5,4,4,3,4,2,3,3,5,5,5,5,4,4,2,4,4,3
559,1,23,1,1,4,3,3,3,4,4,3,4,3,3,4,4,4,3,4,3,4,5,4,4,3,4,3,4,3,4,4,4,4,3,5,5,4,5,4,5,3,2,3,2,3,4,4,4,3,4,3,4,2,2,2,3,3,4,4,4,3,3,4,1,2,2,2,2,4,2,2,4,3,3,3,2,4,3,5,3,5,5,5,3,5,5,5,5,2,2,2,3,2,4,4,3,3,2,4,4,3,3,2,3,3,3,2,2,3,4,3,4,4,3,3,2,1,2,2,2,2,3,3,2,4,4,3,4,3,3,3,4,4,3,3,4,4,2,2,2,2,2,4,3,3,4,3,4,4,2,3,2,3,2,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,2,2,2,4,4,3,2,3,3,3,3,3,4,3,4,4,4,4,4,4,2,2,2,3,3,4,4,4,3,2,3,2,3,4,4,4,4,4,4,3,3,3,4,4,3,2,3,4,3,2,2,3,1,2,1,1,1,2,3,2,4,4,3,4,3,3,3,4,3,3,4,4,4,2,2,2,2,2,4,4,4,4,2,2,2,3,4,3,4,4,3,4,2,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,2,4,4,4,4,3,4,3,4,3,4,2
560,1,22,1,0,4,1,3,3,3,4,3,4,4,4,3,1,1,2,1,1,1,2,3,2,3,3,3,3,3,1,3,3,3,4,5,5,4,5,5,4,4,1,1,1,1,1,2,4,3,3,3,3,1,1,3,4,3,3,4,3,3,3,3,1,2,1,1,1,2,2,2,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,3,3,5,5,5,1,1,1,5,5,5,3,4,4,3,4,2,2,3,4,1,4,1,1,1,4,4,4,4,3,3,3,3,1,3,4,3,3,4,4,4,1,1,1,1,1,5,3,3,3,3,4,4,3,3,5,5,5,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,1,1,1,1,1,3,1,1,3,3,3,3,3,1,3,3,3,3,3,4,4,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
561,1,22,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,5,5,4,4,4,5,4,5,5,5,4,4,3,4,4,4,4,1,1,1,1,1,1,2,1,1,2,2,1,1,1,3,2,2,3,4,4,2,1,1,1,1,3,1,4,3,3,3,2,3,4,4,1,2,4,4,4,3,5,5,5,3,4,4,2,1,2,1,3,1,1,3,2,1,2,1,3,2,2,2,5,5,5,5,3,2,2,3,3,2,4,4,4,3,2,4,3,4,4,2,3,1,2,5,3,2,3,3,3,3,3,4,4,1,1,1,1,1,3,1,3,4,5,5,5,5,5,1,1,1,3,3,2,5,5,4,3,3,3,3,3,3,3,3,3,3,2,4,3,4,2,2,4,3,3,2,3,4,1,3,2,3,4,3,4,4,1,1,1,1,1,5,5,5,5,1,1,1,3,4,2,5,5,4,5,3,3,3,3,3,3,2,4,4,3,2,3,4,2,4,3,3,3,3,3,2,3,3,3,4,4,2,3,3,3,3,3,4,4,1,1,1,1,1,4,4,5,5,1,1,1,4,3,4,2,5,4,3,2,3,4,3,5,1,3,3,5,5,4,3,4,5,2,4,2,4,2,2,5,5,5,5,2,4,2,4,4,2
562, ,22,1,1,3,3,4,4,2,3,2,3,4,4,2,3,4,4,1,2,4,5,2,4,4,5,2,5,1,2,5,4,3,4,4,4,4,4,3,3,4,4,4,2,2,3,4,4,3,2,4,4,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,3,4,3,3,4,3,4,3,4,5,3,4,3,4,5,3,2,2,4,3,3,4,3,4,4,4,2,3,2,2,3,4,4,4,4,2,3,2,3,4,2,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
563, ,22,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,4,3,3,1,3,1,1,1,2,1,3,1,1,4,1,3,3,3,1,2,3,3,4,5,5,4,5,4,4,3,1,1,1,1,1,2,2,2,3,1,3,4,1,2,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
564,2,21,19,0,4,3,4,3,3,4,3,3,3,4,2,1,1,1,1,2,1,1,1,1,4,3,4,4,5,4,3,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,3,5,4,4,5,5,5,5,5,5,5,1,1,1,1,1,4,3,2,3,1,3,2,2,3,3,3,2,3,3,5,4,4,3,4,3,4,1,2,1,1,1,1,1,1,1,1,4,3,4,3,3,4,3,4,4,4,5,5,5,1,1,1,1,1,4,2,3,3,3,5,5,5,5,3,2,2,2,2,2,1,1,5,5,3,3,3,4,3,3,1,1,1,1,1,1,1,1,1,1,2,2,4,2,3,2,2,3,3,2,4,4,4,1,1,1,1,1,5,5,5,5,3,3,3,1,1,1,1,1,3,4,3,3,3,4,4,4,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,4,3,3,4,4,4,4,4,4,1,1,1,1,1,5,5,5,5,2,2,2,4,4,4,3,4,4,3,1,4,3,2,4,3,3,3,5,5,5,5,5,4,3,2,4,1,3,2,2,2,3,5,3,4,4,4,4,3
565,1,23,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,4,3,1,1,1,1,2,1,1,1,1,1,4,4,4,3,2,4,4,3,4,4,5,5,3,5,3,3,4,2,1,1,1,1,2,1,2,3,1,1,1,1,3,4,3,5,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,4,4,3,3,2,1,1,1,1,4,3,3,3,2,2,2,2,2,4,4,4,4,1,1,1,3,3,3,3,3,3,3,4,3,3,3,3,3,2,1,2,3,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,1,1,1,3,4,3,4,3,3,4,4,3,2,4,4,3,3,3,4,4,3,3,4,3,2,2,2,3,4,1,3,3,3,3,4,4,4,4,3,4
566,2,21,1,1,2,3,3,2,3,4,1,3,2,2,1,1,1,1,2,3,1,3,5,1,5,3,4,4,4,2,3,2,3,5,5,4,4,5,5,3,3,2,2,2,3,3,4,4,2,3,2,5,1,4,1,3,2,3,4,1,2,4,1,1,4,1,1,2,4,1,4,2,3,3,3,1,1,1,2,4,4,5,5,4,5,4,4,4,2,3,1,3,3,1,1,2,3,2,4,5,5,3,4,3,4,5,4,4,4,2,3,3,4,3,3,2,2,2,3,2,2,3,1,1,3,4,4,4,3,2,3,4,4,5,4,4,4,2,2,3,2,2,4,3,2,1,4,4,4,4,4,4,3,3,3,3,3,5,4,4,4,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,3,2,2,2,3,3,2,2,3,3,2,2,3,4,2,3,3,2,2,4,4,4,4,2,3,3,2,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,1,3,3,3,3,4,3,2,3,3,4,4,3,3,3,5,5,5,5,5,5,3,3,2,2,2,4,4,4,4,3,3,2,4,3,3,2,4,3,4,4,4,5,5,4,2,2,2,4,4,4,4,4,3,4,5,4,4,4,4,4,5,5,5,4,4,2,2,4,3
567,1,23,12,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,4,4,1,1,1,1,1,1,1,2,1,1,4,4,4,4,3,4,4,3,5,5,5,5,4,4,4,3,3,1,1,1,1,1,3,4,2,2,1,1,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,2,1,1,2,1,1,1,2,5,4,4,4,3,2,4,5,5,3,4,3,3,2,2,2,2,2,4,4,4,4,1,4,4,4,4,2,4,3,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,3,2,2,4,1,3,2,2,2,2,1,2,2,2,1,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,3,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4
568,1,23,14,0,3,3,3,3,2,3,4,3,4,4,4,3,2,3,1,2,2,4,4,2,4,5,4,4,5,4,3,4,3,3,5,5,5,5,4,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,3,1,1,3,1,2,2,1,3,1,1,4,4,5,4,5,2,3,4,2,3,5,5,5,5,3,4,4,2,1,1,1,1,3,2,2,3,2,1,1,1,3,4,4,4,4,1,3,3,4,4,4,4,4,2,1,1,1,1,1,1,1,2,1,4,4,5,4,5,4,4,4,5,5,4,4,5,1,1,1,1,1,4,2,5,3,3,5,5,5,5,1,1,1,4,4,4,4,4,4,5,3,3,4,4,4,4,4,3,2,3,1,3,4,2,1,1,5,3,2,3,5,4,2,5,5,3,4,5,5,2,2,2,2,2,5,5,5,5,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,4,1,1,1,5,1,4,2,1,4,5,4,5,5,3,3,4,4,2,4,4,4,2,1,1,1,1,4,4,4,4,2,2,2,4,3,2,3,3,3,4,2,4,2,3,4,4,4,4,4,2,2,3,2,4,2,2,2,4,2,4,4,4,4,4,2,2,2,4,4,3
569,1,23,13,0,4,4,3,4,3,4,4,4,3,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,3,1,1,3,1,1,1,1,3,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,5,4,4,4,4,4,4,4,4,4,5,5,5,1,1,1,1,1,5,4,3,3,3,5,5,5,5,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,3,4,4,1,1,1,1,1,1,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
570,1,22,1,1,4,3,4,3,3,4,4,4,4,3,1,1,1,2,1,2,1,2,1,1,4,5,5,5,3,2,4,5,4,5,5,5,4,4,5,4,4,2,2,1,1,1,3,2,1,5,2,1,1,1,1,3,2,3,3,4,3,1,2,1,1,2,2,1,3,2,2,4,2,4,2,3,2,3,5,4,4,4,4,5,4,3,3,3,1,1,1,1,1,3,3,3,3,2,5,3,2,3,3,2,5,5,5,5,3,3,3,3,4,3,3,3,1,2,1,3,1,3,1,2,5,5,4,5,4,2,4,4,5,4,5,3,4,1,1,1,1,1,5,4,4,2,4,4,3,4,4,4,3,3,3,3,3,5,4,4,4,3,3,3,4,4,2,1,1,1,2,1,1,2,1,3,1,3,4,5,4,3,1,3,5,5,5,3,3,3,1,1,1,1,1,4,4,4,4,4,4,3,3,3,2,3,4,4,3,3,3,3,4,4,3,3,3,2,2,1,2,1,1,2,1,2,1,2,1,1,3,3,4,3,3,1,3,4,4,4,2,3,2,1,1,1,1,1,4,4,5,5,4,3,3,5,5,5,4,5,4,3,2,3,2,5,5,3,3,3,5,5,4,4,5,5,3,2,2,1,1,1,4,4,5,5,4,5,4,3,3,3
571,1,23,5,0,4,3,3,3,3,4,4,4,4,4,1,1,2,1,1,2,1,2,2,2,5,3,4,3,3,4,3,4,5,4,5,5,5,5,5,5,5,1,1,1,1,1,2,3,1,1,4,2,1,3,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,1,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,2,2,1,3,1,4,1,1,4,3,3,4,4,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2,2,4,4,5,5,5,5,5,1,1,1,1,1,4,4,5,3,3,5,5,5,5,2,2,2,4,3,4,4,4,5,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,5,5,4,5,3,4,4,5,5,5,4,5,5,1,1,1,1,1,5,5,5,5,3,1,1,4,4,4,4,4,4,5,4,4,4,4,4,4,3,2,2,4,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,3,5,4,4,5,4,5,5,5,1,1,1,1,1,5,5,5,5,3,2,2,4,1,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
572,1,23,24,0,4,4,3,2,3,4,2,4,4,3,3,4,1,1,1,3,1,5,5,2,4,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,3,3,2,2,2,2,1,1,2,3,3,3,4,3,4,3,3,1,1,1,2,1,4,3,1,5,3,4,3,4,3,4,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,2,3,4,5,2,1,1,1,3,4,5,5,5,3,5,4,4,4,4,4,4,4,5,2,4,3,4,3,5,4,3,5,3,3,2,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,2,1,1,2,5,5,5,5,3,2,2,3,4,4,1,1,1,4,1,1,4,4,4,4,2,1,1,1,1,1,3,1,1,1,5,3,5,3,5,1,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,3,5,5,1,1,1,5,3,4,4,4,4,4,3,3,3,2,1,1,1,1,1,1,3,1,3,3,1,5,5,5,4,5,3,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,2,2,1,4,4,5,3,4,3,1,1,3,3,5,3,4,5,5,5,5,5,5,5,3,4,4,5,1,2,1,1,3,2,5,5,5,3,5,4,5
573,1,24,5,0,3,3,4,3,4,4,4,3,4,3,1,1,1,1,2,1,1,2,1,1,4,5,3,5,4,5,4,4,5,4,5,5,4,5,3,5,5,2,2,2,1,1,2,3,1,1,3,1,1,1,1,3,4,3,4,4,4,3,1,1,1,1,1,1,2,1,1,5,5,3,4,4,4,3,4,5,5,5,5,4,5,3,5,5,1,1,1,1,1,3,3,3,4,3,3,1,2,4,4,4,5,5,5,5,4,4,4,4,4,4,3,1,1,1,1,1,1,2,1,1,5,4,3,4,3,4,4,3,3,5,3,5,5,1,1,1,1,1,4,2,5,5,4,5,5,5,5,2,1,1,4,4,3,4,4,4,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,1,5,5,4,4,4,3,4,4,4,4,3,4,4,1,1,1,1,1,5,5,4,5,2,1,1,3,4,4,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,5,4,4,5,5,4,3,4,4,5,3,4,4,1,1,1,1,1,5,5,4,5,1,1,1,5,3,4,4,5,4,5,3,4,5,5,5,4,4,4,4,5,5,5,4,3,2,1,5,1,1,1,5,5,5,5,5,5,5,5,5,3
574,1,22,1,1,2,3,3,3,2,4,2,3,3,3,4,2,1,2,2,3,1,3,3,1,4,2,4,4,3,4,3,4,5,4,5,5,4,4,3,2,4,2,2,2,2,2,2,4,2,3,2,2,2,2,4,3,3,3,4,2,3,4,3,1,3,1,2,1,3,3,2,4,1,2,4,3,3,4,5,5,4,5,5,4,4,4,4,3,2,1,1,1,2,4,2,2,4,1,4,2,3,2,4,4,4,4,4,4,1,3,3,4,3,2,1,1,1,4,1,4,2,3,3,4,4,3,3,4,4,4,4,5,5,4,4,4,4,2,1,1,1,1,4,2,3,2,2,4,4,3,5,2,2,2,2,3,3,4,4,4,4,3,3,3,4,2,2,2,1,1,4,2,3,2,3,2,1,4,4,4,5,4,2,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,2,4,4,3,3,2,3,2,1,2,1,3,2,2,1,1,4,4,4,5,5,4,4,4,5,4,5,5,5,1,1,1,1,1,5,5,5,5,2,2,2,4,4,4,4,4,2,2,1,3,3,5,4,1,4,4,5,5,3,4,4,3,2,4,1,4,2,3,4,4,4,4,4,4,2,5,4,2
575,1,21,1,1,4,4,3,3,4,4,3,3,3,4,3,2,1,1,1,3,3,1,1,1,4,5,4,4,4,2,4,4,4,3,4,4,4,4,2,3,3,1,2,1,1,2,2,3,2,2,2,2,2,2,2,4,4,4,4,4,3,4,2,1,1,1,1,1,2,1,2,5,4,5,4,5,3,5,4,4,4,5,5,5,5,4,5,4,1,1,1,1,1,4,2,1,4,1,2,2,2,4,4,5,4,3,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,3,4,4,3,1,4,1,4,2,1,1,1,1,1,1,3,2,5,4,4,5,5,3,4,4,4,5,4,4,4,2,2,1,2,2,5,5,5,5,2,1,1,5,5,5,5,5,4,3,3,4,3,3,4,1,4,4,4,5,3,3,5,5,4,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4
576,1,20,1,1,3,3,3,2,2,4,3,3,2,2,2,5,2,3,3,5,3,4,4,3,4,5,3,3,4,4,3,4,2,5,5,5,4,5,4,4,4,2,1,1,4,2,2,2,2,2,2,2,1,1,3,4,2,2,3,2,3,4,5,2,2,2,4,4,5,2,1,4,5,3,4,4,4,3,5,4,5,5,5,5,5,3,4,4,1,1,1,1,1,2,4,2,4,2,1,3,4,3,4,4,2,4,2,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,5,2,2,2,2,2,3,2,2,1,2,5,5,5,5,2,2,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,5,5,5,5,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,5,5,5,5,3,4,3,4,4,4,3,4,4,2,1,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,2,4,3,3,3,3,4,4,4,4,4,4
577,1,21,1,1,4,3,3,4,4,3,3,3,4,3,3,2,3,1,1,2,1,2,2,1,4,4,3,4,2,1,3,4,4,3,4,4,4,4,4,4,4,2,2,2,1,1,2,4,2,2,3,3,1,1,3,4,4,3,4,3,4,3,3,1,3,1,3,1,4,3,3,5,4,3,2,3,5,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,3,4,3,2,2,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,5,5,3,5,3,3,5,5,5,5,3,4,4,1,1,1,1,1,2,2,3,1,2,5,5,4,4,2,2,2,4,4,3,5,5,5,5,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,1,3,3,3,3,3,1,4,4,5,4,3,4,4,1,1,1,1,1,4,4,3,4,2,2,2,3,3,3,4,4,4,4,3,3,3,4,3,3,2,3,4,3,1,3,3,1,2,1,3,1,5,3,2,3,1,2,3,3,2,1,4,5,5,3,4,4,2,2,2,2,2,3,3,3,3,3,2,3,4,4,4,3,4,4,3,2,3,3,4,4,3,2,2,4,4,4,4,4,3,2,4,3,2,3,2,4,4,4,4,4,4,3,4,4,2
